date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:14	162015/162015	---M-Z	200	added ('OK')	text/html	etag:%22278df-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/websiteportfolio.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websiteportfolio.html	(from https://www.websitedesign.co.za/)
10:38:14	51613/51613	---M-Z	200	added ('OK')	text/html	etag:%22c99d-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/directorywebsites.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/directorywebsites.html	(from https://www.websitedesign.co.za/)
10:38:14	51350/51350	---M-Z	200	added ('OK')	text/html	etag:%22c896-5ec8d91402fc0-gzip%22	https://www.websitedesign.co.za/websecurity.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websecurity.html	(from https://www.websitedesign.co.za/)
10:38:15	44662/44662	---M-Z	200	added ('OK')	text/html	etag:%22ae76-5ec8d91402fc0-gzip%22	https://www.websitedesign.co.za/websitedesignbackupservice.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websitedesignbackupservice.html	(from https://www.websitedesign.co.za/)
10:38:15	38727/38727	---M-Z	200	added ('OK')	text/html	etag:%229747-5ec8d91402fc0-gzip%22	https://www.websitedesign.co.za/technicalinfrastructure.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/technicalinfrastructure.html	(from https://www.websitedesign.co.za/)
10:38:15	67906/67906	---M-Z	200	added ('OK')	text/html	etag:%2210942-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/contentcopywriter.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/contentcopywriter.html	(from https://www.websitedesign.co.za/)
10:38:15	46676/46676	---M-Z	200	added ('OK')	text/html	etag:%22b654-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/logodesign.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/logodesign.html	(from https://www.websitedesign.co.za/)
10:38:16	47561/47561	---M-Z	200	added ('OK')	text/html	etag:%22b9c9-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/corporateidentity.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/corporateidentity.html	(from https://www.websitedesign.co.za/)
10:38:16	47503/47503	---M-Z	200	added ('OK')	text/html	etag:%22b98f-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/companydocuments.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/companydocuments.html	(from https://www.websitedesign.co.za/)
10:38:17	53845/53845	---M-Z	200	added ('OK')	text/html	etag:%22d255-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/websitedesignmarketing-adwords.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websitedesignmarketing-adwords.html	(from https://www.websitedesign.co.za/)
